vertex1,vertex2,linename,company
奈良,京終,万葉まほろば線,JR
京終,帯解,万葉まほろば線,JR
帯解,櫟本,万葉まほろば線,JR
櫟本,天理,万葉まほろば線,JR
天理,長柄,万葉まほろば線,JR
長柄,柳本,万葉まほろば線,JR
柳本,巻向,万葉まほろば線,JR
巻向,三輪,万葉まほろば線,JR
三輪,桜井,万葉まほろば線,JR
桜井,香久山,万葉まほろば線,JR
香久山,畝傍,万葉まほろば線,JR
金橋,高田,万葉まほろば線,JR
王寺,畠田,和歌山線,JR
畠田,志都美,和歌山線,JR
志都美,香芝,和歌山線,JR
香芝,JR五位堂,和歌山線,JR
JR五位堂,高田,和歌山線,JR
高田,大和新庄,和歌山線,JR
大和新庄,御所,和歌山線,JR
御所,玉手,和歌山線,JR
玉手,掖上,和歌山線,JR
掖上,吉野口,和歌山線,JR
吉野口,北宇智,和歌山線,JR
北宇智,五条,和歌山線,JR
五条,大和二見,和歌山線,JR
三郷,王寺,大和路線,JR
王寺,法隆寺,大和路線,JR
法隆寺,大和小泉,大和路線,JR
大和小泉,郡山,大和路線,JR
郡山,奈良,大和路線,JR
奈良,平城山,大和路線,JR
生駒,菜畑,生駒線,近鉄
菜畑,一分,生駒線,近鉄
一分,南生駒,生駒線,近鉄
南生駒,萩の台,生駒線,近鉄
萩の台,東山,生駒線,近鉄
東山,元山上口,生駒線,近鉄
元山上口,平群,生駒線,近鉄
平群,竜田川,生駒線,近鉄
竜田川,勢野北口,生駒線,近鉄
勢野北口,信貴山下,生駒線,近鉄
信貴山下,王寺,生駒線,近鉄
新王寺,大輪田,田原本線,近鉄
大輪田,佐味田川,田原本線,近鉄
佐味田川,池部,田原本線,近鉄
池部,箸尾,田原本線,近鉄
箸尾,但馬,田原本線,近鉄
但馬,黒田,田原本線,近鉄
黒田,西田原本,田原本線,近鉄
高の原,平城,京都線,近鉄
平城,大和西大寺,京都線,近鉄
大和西大寺,尼ヶ辻,橿原線,近鉄
尼ヶ辻,西ノ京,橿原線,近鉄
西ノ京,九条,橿原線,近鉄
九条,近鉄郡山,橿原線,近鉄
近鉄郡山,筒井,橿原線,近鉄
筒井,平端,橿原線,近鉄
平端,ファミリー公園前,橿原線,近鉄
ファミリー公園前,結崎,橿原線,近鉄
結崎,石見,橿原線,近鉄
石見,田原本,橿原線,近鉄
田原本,笠縫,橿原線,近鉄
笠縫,新ノ口,橿原線,近鉄
新ノ口,大和八木,橿原線,近鉄
大和八木,八木西口,橿原線,近鉄
八木西口,畝傍御陵前,橿原線,近鉄
畝傍御陵前,橿原神宮前,橿原線,近鉄
二上山,二上神社口,南大阪線,近鉄
二上神社口,当麻寺,南大阪線,近鉄
当麻寺,磐城,南大阪線,近鉄
磐城,尺土,南大阪線,近鉄
尺土,高田市,南大阪線,近鉄
高田市,浮孔,南大阪線,近鉄
浮孔,坊城,南大阪線,近鉄
坊城,橿原神宮西口,南大阪線,近鉄
橿原神宮西口,橿原神宮前,南大阪線,近鉄
橿原神宮前,岡寺,吉野線,近鉄
岡寺,飛鳥,吉野線,近鉄
飛鳥,壺阪山,吉野線,近鉄
壺阪山,市尾,吉野線,近鉄
市尾,葛,吉野線,近鉄
葛,吉野口,吉野線,近鉄
吉野口,薬水,吉野線,近鉄
薬水,福神,吉野線,近鉄
福神,大阿太,吉野線,近鉄
大阿太,下市口,吉野線,近鉄
下市口,越部,吉野線,近鉄
越部,六田,吉野線,近鉄
六田,大和上市,吉野線,近鉄
大和上市,吉野神宮,吉野線,近鉄
吉野神宮,吉野,吉野線,近鉄
尺土,近鉄新庄,御所線,近鉄
近鉄新庄,忍海,御所線,近鉄
忍海,近鉄御所,御所線,近鉄
生駒,東生駒,奈良線,近鉄
東生駒,富雄,奈良線,近鉄
富雄,学園前,奈良線,近鉄
学園前,菖蒲池,奈良線,近鉄
菖蒲池,大和西大寺,奈良線,近鉄
大和西大寺,新大宮,奈良線,近鉄
新大宮,近鉄奈良,奈良線,近鉄
関屋,二上,大阪線,近鉄
二上,近鉄下田,大阪線,近鉄
近鉄下田,五位堂,大阪線,近鉄
五位堂,築山,大阪線,近鉄
築山,大和高田,大阪線,近鉄
大和高田,松塚,大阪線,近鉄
松塚,真菅,大阪線,近鉄
真菅,大和八木,大阪線,近鉄
大和八木,耳成,大阪線,近鉄
耳成,大福,大阪線,近鉄
大福,桜井,大阪線,近鉄
桜井,大和朝倉,大阪線,近鉄
大和朝倉,長谷寺,大阪線,近鉄
長谷寺,榛原,大阪線,近鉄
榛原,室生口大野,大阪線,近鉄
室生口大野,三本松,大阪線,近鉄
平端,二階堂,天理線,近鉄
二階堂,前栽,天理線,近鉄
前栽,天理,天理線,近鉄
